Address,PSI Status,PSI Error,Performance Score,Total Size Savings (Bytes),Total Time Savings (ms),Total Requests,Total Page Size (Bytes),HTML Size (Bytes),HTML Count,Image Size (Bytes),Image Count,CSS Size (Bytes),CSS Count,JavaScript Size (Bytes),JavaScript Count,Font Size (Bytes),Font Count,Media Size (Bytes),Media Count,Other Size (Bytes),Other Count,Third Party Size (Bytes),Third Party Count,Core Web Vitals Assessment,CrUX First Contentful Paint Time (ms),CrUX First Contentful Paint Category,CrUX First Input Delay Time (ms),CrUX First Input Delay Category,CrUX Largest Contentful Paint Time (ms),CrUX Largest Contentful Paint Category,CrUX Cumulative Layout Shift,CrUX Cumulative Layout Shift Category,CrUX Interaction to Next Paint Category,CrUX Interaction to Next Paint (ms),CrUX Time to First Byte Category,CrUX Time to First Byte (ms),Eliminate Render-Blocking Resources Savings (ms),Defer Offscreen Images Savings (ms),Efficiently Encode Images Savings (ms),Properly Size Images Savings (ms),Minify CSS Savings (ms),Minify JavaScript Savings (ms),Reduce Unused CSS Savings (ms),Reduce Unused JavaScript Savings (ms),Serve Images in Next-Gen Formats Savings (ms),Enable Text Compression Savings (ms),Preconnect to Required Origins Savings (ms),Server Response Times (TTFB) (ms),Multiple Redirects Savings (ms),Preload Key Requests Savings (ms),Use Video Format for Animated Images Savings (ms),Total Image Optimization Savings (ms),Avoid Serving Legacy JavaScript to Modern Browsers Savings (Bytes)
https://www.andelskassen.dk/erhverv/produkter/anlaeg/,Success,NA,46,1782704,9455,29,4060259,21209,2,1285007,5,45992,2,329545,9,2376392,8,0,0,2114,3,121433,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,695,0,0,6000,0,0,300,900,1500,0,0,60,0,0,0,7500,66
https://www.andelskassen.dk/om-banken/investor/aktionaermoeder/,Success,NA,61,243363,1798,28,2785208,19039,2,12125,4,45992,2,329546,9,2376392,8,0,0,2114,3,121434,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689,0,0,0,0,0,150,900,0,0,0,59,0,0,0,0,66
https://www.andelskassen.dk/privat/pension/ratepension/,Success,NA,19,772998,7669,28,3362193,21845,2,586304,4,45992,2,329545,9,2376392,8,0,0,2115,3,121434,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3980,0,0,1350,0,0,150,750,1350,0,0,89,0,0,0,2700,66
https://www.andelskassen.dk/om-banken/investor/finanskalender/,Success,NA,61,618815,3604,29,3041668,19378,2,266132,5,46294,2,330452,9,2377298,8,0,0,2114,3,121434,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,693,0,750,0,0,0,150,900,1050,0,0,61,0,0,0,1800,66
https://www.andelskassen.dk/nyheder/,Success,NA,61,242850,1805,28,2786264,20095,2,12125,4,45992,2,329546,9,2376392,8,0,0,2114,3,121434,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,0,0,0,0,0,150,900,0,0,0,55,0,0,0,0,66
https://www.andelskassen.dk/privat/bolig/boligkoeb/,Success,NA,53,3209428,16728,34,5125308,27767,2,2324941,6,47433,3,346661,12,2376392,8,0,0,2114,3,121433,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,702,0,0,9000,0,0,300,900,5700,0,0,126,0,0,0,14700,66
https://www.andelskassen.dk/privat/,Success,NA,42,35418724,173959,58,25296491,26253,3,22187448,25,76914,4,580653,11,2416692,9,0,0,8531,6,931347,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,0,18900,81150,0,0,100,1750,71250,0,0,59,0,0,0,171300,9179
https://www.andelskassen.dk/erhverv/udland/remburs/,Success,NA,40,367604,2395,30,2964595,19785,2,189557,6,46294,2,330452,9,2376392,8,0,0,2115,3,121435,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,685,0,0,300,0,0,150,1050,150,0,0,60,0,0,0,450,66
https://www.andelskassen.dk/privat/bolig/boliglaan/,Success,NA,57,580389,3961,34,3653627,25176,2,853434,6,48037,3,347870,12,2376996,8,0,0,2114,3,121434,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,692,0,0,900,0,0,150,1200,900,0,0,119,0,0,0,1800,66
https://www.andelskassen.dk/privat/kort-og-mobilbetalinger/betal-med-mobilen-eller-uret/,Success,NA,56,221536,1804,29,2795326,20859,2,18609,5,45992,2,330755,9,2376996,8,0,0,2115,3,121436,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,692,0,0,0,0,0,150,900,0,0,0,62,0,0,0,0,66
